codigoOC;FechaEnvioOC;NombreOC;DescripcionOC;EstadoOC;ProcedenciaOC;MonedaOC;MontoNetoOC;DescuentosOC;CargosOC;ImpuestosOC;MontoTotalOC;ImpuestosOC_CLP;MontoNetoOC_CLP;MetodoPago;TipoDespacho;Financiamiento;UnidadCompra;UnidadCompraRUT;RegionUnidadCompra;entCode;Institucion;Sector;Proveedor;ProveedorRUT;ActividadProveedor;TamanoProveedor;RegionProveedor;RubroN1;RubroN2;RubroN3;CodigoProductoONU;ONUProducto;NombreItem;DescripcionItem;CantidadItem;UnidadMedida;MonedaItem;MontoNetoItem;DescuentoItem;CargosItem;ImpuestoEspecificoItem;MontoTotalItem;MontoNetoItemCLP
608-11785-SE22;13-01-2023 0:00:00;wfg_MANTENCION CORRECTIVA DE CALENTADOR Y ENFRIADO;MANTENCION CORRECTIVA DE CALENTADOR Y ENFRIADOR DE PACIENTES RES.EX 7794  27/10/2022 SC 103/ 2022 enviada por UIC INDICAR EN LA LA FACTURA LA OC La Boleta Electrónica o Factura Electrónica debe ser enviada a: dipresrecepcion@custodium.com en formato xml. Para consultas de estados de pago deberá ingresar a http] s://pagos.sigfe.gob.cl/ o https://www.tgr.cl/ banner Pago a proveedores del estado.  ;Recepcion Conforme;Trato Directo;CLP;2369000;0;0;450110;2819110;450110;2369000;A 45 dias;Otra Forma de Despacho, Ver Instruc;;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;MEDIPLEX S A;86.383.300-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Servicios de producción y fabricación industrial;Servicios de apoyo o soporte a la fabricación;Servicios de mantenimiento y reparación de equipo de fabricación;73152102;Servicio de reparación de equipo de fabricación;Servicio de reparación de equipo de fabricación;MANTENCION CORRECTIVA DE CALENTADOR  Y ENFRIADOR DE PACIENTES;1;Unidad no definida;CLP;2369000;0;0;0;2369000;2369000
608-13215-SE22;14-03-2023 0:00:00;POC. COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS;AUTORIZA EL PAGO  DE INSUMOS PARA BODEGA DE SUMINISTROS ASOCIADA A  FACTURA N° 545396 .AUTORIZA PAGO  SEGÚN RESOLUCIÓN EXENTA N° 09379 DE FECHA 23.12.2022.;Aceptada;Trato Directo;CLP;50600;0;0;9614;60214;9614;50600;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos de rehabilitación, terapia ocupacional y física;Equipo y dispositivos para ejercicios de rehabilitación;42251622;Aparatos de ejercicio para rehabilitación o terapia pulmonar;Aparatos de ejercicio para rehabilitación o terapi;XXXXXXX ADQUISICIÓN DE INSUMOS PARA UNIDAD DE ALMACENAMIENTO  (8884717395 RESPIFLO FS );22;Unidad no definida;CLP;2300;0;0;0;50600;50600
608-13217-SE22;14-03-2023 0:00:00;POC.COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS;AUTORIZA EL PAGO  DE INSUMOS PARA BODEGA DE SUMINISTROS ASOCIADA A FACTURA N°555466  SEGÚN RES. EX. N° 09379 DE FECHA 23.12.2022, QUE AUTORIZA PAGO.;Aceptada;Trato Directo;CLP;569200;0;0;108148;677348;108148;569200;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos administrados por vía intravenosa y arterial;Accesorios, catéteres y cánulas intravenosas y arteriales;42221504;Catéteres intravenosos periféricos para uso general;Catéteres intravenosos periféricos para uso genera;XXXXXXX ADQUISICIÓN DE INSUMOS PARA UNIDAD DE ALAMCENAMIENTO  (CONN 6041 3/8X 1/4 Y 20 CT 8L);10;Unidad no definida;CLP;5000;0;0;0;50000;50000
608-12523-SE22;06-01-2023 0:00:00;ABR_MANTENCIÓN ASNCESORES ED. PRINCIPAL;MANTENCIÓN DE ASCENSORES ED. PRINCIPAL RES. EXENTA N°4829 DE FECHA 17-06-2022 CONVENIO POR EL PERIODO DE 6 MESES  CUOTA 5/6 NOVIEMBRE INDICAR EN LA FACTURA LA ORDEN DE COMPRA “ La Boleta Electrónica o Factura Electrónica debe ser enviada a: dipresrecepcion@custodium.com en formato xml Para consultas de estados de pago deberá ingresar a https://pagos.sigfe.gob.cl/ o https://www.tgr.cl/ banner Pago a proveedores del estado.;Recepcion Conforme;Trato Directo;CLP;215972;0;0;41034,68;257006,68;41034,68;215972;A 45 dias;Otra Forma de Despacho, Ver Instruc;;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;TK ELEVADORES CHILE S.A.;96.726.480-6;VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.;Grande;Región Metropolitana de Santiago;Servicios de producción y fabricación industrial;Servicios de apoyo o soporte a la fabricación;Servicios de mantenimiento y reparación de equipo de fabricación;73152101;Servicio de mantenimiento de equipo de fabricación;Servicio de mantenimiento de equipo de fabricación;CS20003 MANTENIMIENTO DE ASCENSORESY MONTACARGAS DEL EDIFICIO PRINCIPAL. ;1;Unidad no definida;CLP;215972;0;0;0;215972;215972
608-13206-SE22;14-03-2023 0:00:00;poc. COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS;AUTORIZA EL PAGO COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS SEGUN FACTURA N° 372095, RES. EX. N°9379 DE FECHA 23.12.2022, QUE AUTORIZA PAGO.;Aceptada;Trato Directo;CLP;2348274;0;0;446172,06;2794446,06;446172,06;2348274;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos para el cuidado de heridas;Cierres médicos de tejidos y productos relacionados;42312010;Grapadoras para cierre de piel;Grapadoras para cierre de piel;XXXXXXX ADQUISICIÓN DE INSUMOS PARA UNIDAD DE ALMACENAMIENTO, (GUIA 80-3.8 SINGLEUSE RELOADAB);1;Unidad no definida;CLP;112236;0;0;0;112236;112236
608-13221-SE22;14-03-2023 0:00:00;POC. COMPRA DE INSUMOS PARA BODEGA DE SUMINISTRSO;AUTORIZA EL PAGO DE INSUMOS PARA BODEGA DE SUMINISTROS ASOCIADA A  FACTURA N° 698646 , RESOLUCIÓN EXENTA N° 09379 DE FECHA 23.12.2022.;Aceptada;Trato Directo;CLP;126312;0;0;23999,28;150311,28;23999,28;126312;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos para el cuidado de heridas;Sutura y productos relacionados;42312201;Sutura;Sutura;XXXXXXX ADQUISICIÓN DE INSUMOS PARA UNIDAD DE ALMACENAMIENTO  (VLOCL0644 180 30 GRN 23 CM V20);6;Unidad no definida;CLP;21052;0;0;0;126312;126312
608-13204-SE22;09-01-2023 0:00:00;WFG_MANTENCIÓN CÁMARAS TERMOGRÁFICAS;MANTENCIÓN CÁMARAS TERMOGRÁFICAS RES. EXENTA N°2729 DE FECHA 31-25-2021 CONVENIO POR 24 MESES, VALOR MENSUAL 15,23 UF CON IVA CUOTA 18/24 NOVIEMBRE 2022 INDICAR EN LA FACTURA LA ORDEN DE COMPRAS “ La Boleta Electrónica o Factura Electrónica debe ser enviada a: dipresrecepcion@custodium.com en formato xml. Para consultas de estados de pago deberá ingresar a http] s://pagos.sigfe.gob.cl/ o https://www.tgr.cl/ banner Pago a proveedores del estado. ;Recepcion Conforme;Trato Directo;CLP;450662;0;0;85625,78;536287,78;85625,78;450662;A 45 dias;Otra Forma de Despacho, Ver Instruc;;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;INGESMART SPA;96.858.370-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| ALQUILER DE OTROS TIPOS DE MAQUINARIAS Y EQUIPOS N.C.P.| SERVICIOS DE INGENIERIA PRESTADOS POR EMPRESAS N.C.P.| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.;Grande;Región Metropolitana de Santiago;Servicios de producción y fabricación industrial;Servicios de apoyo o soporte a la fabricación;Servicios de mantenimiento y reparación de equipo de fabricación;73152101;Servicio de mantenimiento de equipo de fabricación;Servicio de mantenimiento de equipo de fabricación;CSM1001 SERVICIO DE MANTENCIÓN DE 04 CÁMARAS TERMOGRÁFICAS;1;Unidad no definida;CLP;450662;0;0;0;450662;450662
608-13308-SE22;13-01-2023 0:00:00;AGP_08776-22_ADQ. ESTUDIOS MOLECULARES DE CANCER;AGP_08776-22_ADQ. ESTUDIOS MOLECULARES DE CANCER AL PULMON EGFR_ ALK_ROS1_PDL1 SERVICIO_CIRUGIA ADULTO  RUT PACIENTE_5.700.16X-X RES EXENTA 8776 28.11.2022;Recepcion Conforme;Trato Directo;CLP;947104;0;0;0;947104;0;947104;30 dias contra la recepcion conforme de la factura;Despachar según programa adjuntado ;;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;UC CHRISTUS SERVICIOS CLINICOS SPA;99.573.490-7;COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| HOSPITALES Y CLINICAS;Grande;Región Metropolitana de Santiago;Salud, servicios sanitarios y alimentación;Medicina y servicios de salud;Laboratorios clínicos;85121804;Laboratorios patológicos;Laboratorios patológicos;EX10015_ PDL-1;1;Unidad no definida;CLP;175488;0;0;0;175488;175488
608-13309-SE22;13-01-2023 0:00:00;AGP_08776-22_ADQ. ESTUDIOS MOLECULARES DE CANCER;AGP_08776-22_ADQ. ESTUDIOS MOLECULARES DE CANCER AL PULMON EGFR_ ALK_ROS1_PDL1 SERVICIO_CIRUGIA ADULTO  RUT PACIENTE_9.535.63X-X RES EXENTA 8776 28.11.2022;Recepcion Conforme;Trato Directo;CLP;947104;0;0;0;947104;0;947104;30 dias contra la recepcion conforme de la factura;Despachar según programa adjuntado ;;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;UC CHRISTUS SERVICIOS CLINICOS SPA;99.573.490-7;COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| HOSPITALES Y CLINICAS;Grande;Región Metropolitana de Santiago;Salud, servicios sanitarios y alimentación;Medicina y servicios de salud;Laboratorios clínicos;85121804;Laboratorios patológicos;Laboratorios patológicos;EX10013_ALK;1;Unidad no definida;CLP;175488;0;0;0;175488;175488
608-13916-SE22;03-01-2023 0:00:00;KCD_TERAPIA OXÍGENO NÍTRICO PARA INHALACIÓN;TERAPIA OXÍGENO NÍTRICO PARA INHALACIÓN (TERAPIA INOMAX) RES. EXENTA 7294 DE FECHA 12-10-2022 CONVENIO DESDE EL 01-08-2022 POR UN PERIODO DE 3 AÑOS SERVICIO DE ACUERDO A PRE-FACTURAS: 451-452-317-372-407-443/22 ARRIENDO DE 02 EQUIPO MENSUAL (USD 1200.-) INDICAR EN LA FACTURA LA ORDEN DE COMPRAS La Boleta Electrónica o Factura Electrónica debe ser enviada a: dipresrecepcion@custodium.com en formato xml. Para consultas de estados de pago deberá ingresar a http] s://pagos.sigfe.gob.cl/ o https://www.tgr.cl/ banner Pago a proveedores del estado.;Recepcion Conforme;Trato Directo;CLP;5561504;0;0;1056685,76;6618189,76;1056685,76;5561504;A 45 dias;Otra Forma de Despacho, Ver Instruc;;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;LINDE GAS CHILE S.A.;90.100.000-K;FABRICACION DE SUSTANCIAS QUIMICAS BASICAS, EXCEPTO ABONOS Y COMPUESTO| VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Productos químicos industriales;Compuestos y mezclas;Derivados y compuestos orgánicos;12352102;Compuestos orgánicos nitrados o nitrosados;Compuestos orgánicos nitrados o nitrosados;CS40003 ARRIENDO DE 02 EQUIPOS PARA TERAPIA INOMAX MES DE SEPTIEMBRE 2022 PREFACTURA 372/2022 (VALOR DÓLAR $965,18.-);1;Unidad no definida;CLP;1158216;0;0;0;1158216;1158216
608-13034-SE22;14-03-2023 0:00:00;POC.ADQUISICIÓN DE INSUMOS ;ADQUISICIÓN DE SUMINISTROS PARA BODEGA SEGÚN RES. EX. N°9379 DE FECHA 23.12.2022,  (FACTURA N° 372841) ;Recepcion Conforme;Trato Directo;CLP;280000;0;0;53200;333200;53200;280000;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos quirúrgicos;Instrumentos quirúrgicos de corte, trampas y productos relacionados;42291609;Pinzas quirúrgicas;Pinzas quirúrgicas;XXXXXXX ADQUISICIÓN DE INSUMOS PARA BODEGA DE ALMACENAMIENTO (LIGASURE CUR SM JAW SEALER/DIV;1;Unidad no definida;CLP;280000;0;0;0;280000;280000
